tweets,sdf
uzun zamandır aradığım şarkıyı bulunduğun için ty,positive  
cnr kitap fuarı'ndaki standımızda deadpool bildiğiniz gibi :),positive
çok güzel,positive
salt-n-pepa - shoop [deadpool versıon] hd - w/ lyrics   aracılığıyla,neutral
rt  bugün deadpool gibi hissediyorum,negative
rt  deadpool'un bayan kardeşi de mhp ye oy vermiş. ülkcü hareket engellenemez cc,neutral
ikinci kez deadpool izleme keyf sjsjajaj,positive
deadpool nasıl sona ermeliydi?,neutral
rt  bu sahnede deadpool'a aşık olmuştum asfgj,positive
marvel - deadpool maskesi [tekrar stokta] sınırlı sayıdadır fiyat &amp; sipariş...,neutral
adamım benım yaaa,positive
rt  örümcek adam'ın en meşhur düşmanlarından venom'a ayrı film,neutral  
rt  deadpool... —  ataşehir ıstanbul'da,neutral
deadpool'un soundtracklerini dinlerken bile çok mutlu oluyorum dayanamayıp üçüncü defa izlemeye gidicem galiba,positive
deadpool nasıl bir filmdir ya ahahahah,positive
deadpool aslında nasıl bitmeliydi?,negative 
pek güldüm:),positive
allahım lütfen deadpool bu haftasonu internete düşsün,positive
donsuz geliyorum.,positive
izlemeyi düşünen varsa türkçe dublajlısını izlemeyi tercih etsin.sanki daha eğlenceli olur...,neutral
ne desem boş... hala sinemalardayken kaçırmayın...,positive
ulan şu deadpool u bi izleyemedim  ya.,neutral
deadpool'un en çok liam neeson göndermesini beğendim :),positive
bugün deadpool gibi hissediyorum,positive
kızı kazanmak için süper kahraman olmaya gerek yok . doğru kız içinizdeki kahramanı ortaya çıkartır .- deadpool,positive
deadpool beklediğim kadar iyi değildi be,negative
kaç hafta oldu ama  filmiyle ilgili bir şey daha söylemek istiyorum.-çok güzel.,positive 
 filmini yeni izleyebildim. baya keyifliydi',positive
begenmedigim deadpool' un izleyici ile iletisime gecmesi.,negative
deadpool un ilk sahnesinden itibaren tek ağlayan ben miyim acaba?,neutral
deadpool 2'nin kadroya yeni mutant karakter katılacakmış.,positive
deadpool (at  in istanbul türkiye),neutral 
sonunda deadpool'u izledik. taken ve professor x gondermesi harikaydi be,positive
deadpool (at  in bakırköy türkiye),neutral
nasıl bitmeliydi?' serisinden deadpool videosu :),positive
ben gitmeye fırsat bulamadan gösterimden kalkacağını düşündüğüm deadpool şansıma sonsuza kadar sinemada kaldı.,positive
deadpool sizofrendi francis aslinda bi deterjan sisesiydi vanessa da tuzluk,neutral
rt  en sevdiğim film deadpool,positive
rt  atv'de deadpool'u izliyorum. sinemaya giden enayilere selam :d,neutral
yine deadpool (at  in istanbul türkiye),neutral
bir  videosu beğendim:  deadpool mod (gta 5),positive
osman pazarlamanın  deadpool'dan daha fazla izlenmiş olması beni üzüyo,positive
rt  türkçe rap'in deadpool'u.,neutral
